Cabinas,T Total,Tasa Llegada,Tasa Servicio,T promedio espera,Autos atendidos,Ocupación promedio (%)
2,300,0.2,0.25,4.250544929056744,66,48.529411764705884
2,300,0.2,0.25,4.774389610519154,71,47.972972972972975
2,300,0.2,0.25,4.730801114496244,68,49.27536231884058
2,300,0.2,0.25,3.1605350589853374,51,49.03846153846154
2,300,0.2,0.25,5.568402349061085,64,49.23076923076923
2,300,0.2,0.25,5.243454334856917,64,48.484848484848484
2,300,0.2,0.25,3.592588759845903,60,47.61904761904761
2,300,0.2,0.25,5.034146261897013,75,48.7012987012987
2,300,0.2,0.25,6.566385368914264,50,45.45454545454545
2,300,0.2,0.25,4.851701171670834,80,49.382716049382715
2,300,0.2,0.33,3.6972324761524296,59,49.166666666666664
2,300,0.2,0.33,3.284589099425808,50,47.16981132075472
2,300,0.2,0.33,3.18544611864888,57,48.30508474576271
2,300,0.2,0.33,4.480413669014893,75,48.7012987012987
2,300,0.2,0.33,3.7726371722915784,57,49.13793103448276
2,300,0.2,0.33,2.7916980246731247,62,49.2063492063492
2,300,0.2,0.33,4.566607558888662,62,49.2063492063492
2,300,0.2,0.33,3.6070626072705534,55,49.10714285714286
2,300,0.2,0.33,3.1098700066719815,50,47.16981132075472
2,300,0.2,0.33,3.9101207886851244,52,49.056603773584904
2,300,0.25,0.25,3.6957027657995,71,48.630136986301366
2,300,0.25,0.25,5.588991061990831,68,48.57142857142857
2,300,0.25,0.25,5.45834235736556,89,49.44444444444444
2,300,0.25,0.25,5.12971347398767,65,49.24242424242425
2,300,0.25,0.25,5.732738409466999,83,49.4047619047619
2,300,0.25,0.25,3.9270855140264547,75,49.34210526315789
2,300,0.25,0.25,3.9549942209086435,73,49.32432432432432
2,300,0.25,0.25,3.1983798011794873,85,49.41860465116279
2,300,0.25,0.25,4.960488721657361,73,50.0
2,300,0.25,0.25,4.40343634520177,72,49.315068493150676
2,300,0.25,0.33,3.072933323738414,67,48.550724637681164
2,300,0.25,0.33,4.049956145300515,70,50.0
2,300,0.25,0.33,4.668443249907107,84,49.411764705882355
2,300,0.25,0.33,3.3784976113293084,76,49.35064935064935
2,300,0.25,0.33,3.1713869990997354,85,50.0
2,300,0.25,0.33,4.023696942404671,80,49.382716049382715
2,300,0.25,0.33,3.960496288272654,72,49.31506849315069
2,300,0.25,0.33,3.117751170782824,79,48.76543209876543
2,300,0.25,0.33,4.594511212066125,98,49.494949494949495
2,300,0.25,0.33,3.229754415747594,83,50.0
3,300,0.2,0.25,3.8407429275212377,68,32.38095238095238
3,300,0.2,0.25,3.763379055396981,63,32.8125
3,300,0.2,0.25,3.6053868798317614,70,32.863849765258216
3,300,0.2,0.25,4.189213674652152,50,32.67973856209151
3,300,0.2,0.25,4.459350173572169,59,33.333333333333336
3,300,0.2,0.25,3.4896569021717725,67,32.84313725490196
3,300,0.2,0.25,4.0991458481617835,55,32.738095238095234
3,300,0.2,0.25,2.9346686873589705,58,32.76836158192091
3,300,0.2,0.25,4.9965807615338775,46,32.6241134751773
3,300,0.2,0.25,3.9987776720207573,54,32.142857142857146
3,300,0.2,0.33,2.96934814942077,56,32.18390804597701
3,300,0.2,0.33,2.9626129993198655,65,33.333333333333336
3,300,0.2,0.33,3.116083921916367,63,32.307692307692314
3,300,0.2,0.33,3.158789509393722,69,32.857142857142854
3,300,0.2,0.33,2.6389964472814285,73,32.017543859649116
3,300,0.2,0.33,3.6996552059817693,65,32.33830845771144
3,300,0.2,0.33,2.6418778843140607,67,32.84313725490196
3,300,0.2,0.33,3.14171271175562,57,33.333333333333336
3,300,0.2,0.33,3.1109484279538075,41,32.53968253968254
3,300,0.2,0.33,2.969872872715394,55,33.333333333333336
3,300,0.25,0.25,5.069220759404276,86,31.851851851851848
3,300,0.25,0.25,3.7105029717237,74,32.45614035087719
3,300,0.25,0.25,3.829078496479206,74,32.45614035087719
3,300,0.25,0.25,4.216689209602951,64,32.323232323232325
3,300,0.25,0.25,5.232296310665576,64,32.820512820512825
3,300,0.25,0.25,3.6716225945358545,80,33.333333333333336
3,300,0.25,0.25,4.994306597445043,67,32.367149758454104
3,300,0.25,0.25,3.4999830888529635,83,32.93650793650793
